"Web ID","Region","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"54587","US-Mexico Border","December 30, 2020","2020","Dec","1","","1","","","","","Unknown","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.364310000000, -109.484161800000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54586","US-Mexico Border","December 29, 2020","2020","Dec","1","","1","","","","","Unknown","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","32.057701900000, -112.143021500000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54610","Sub-Saharan Africa","December 28, 2020","2020","Dec","1","","1","","1","","1","Vehicle  accident","Abeche road, close to Faya Largeau, Chad","IOM Chad","17.923662300000, 19.110711400000","","","Central Africa","4"
"54585","US-Mexico Border","December 28, 2020","2020","Dec","1","","1","","","","","Unknown","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.586669000000, -111.753637200000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54532","US-Mexico Border","December 27, 2020","2020","Dec","1","","1","","1","","","Vehicle Accident","At Laredo local hospital, she was hit by a vehicle on hihgway 83 south, Laredo, Texas, USA on 17.12.2020","US Border Patrol","27.506346800000, -99.503519800000","","https://archive.vn/v0cx6","Northern America","5"
"54523","Middle East","December 26, 2020","2020","Dec","","1","1","90","1","","","Drowning","Evros/Meriç River near Sarıcaali Village, Ipsala District, Turkey - She fell into the river during rescue operation.","IOM Turkey","40.993226961755, 26.349816798706","","https://archive.vn/K9DWA","Western Asia","4"
"54521","Mediterranean","December 25, 2020","2020","Dec","1","","1","","","","","Hypothermia","In a hospital in Motril, Granada, Spain - Rescued one day before 30 nautical miles off of Motril","Público","36.748974700000, -3.518036300000","Western Mediterranean","https://archive.vn/tyUcw","Southern Europe","1"
"54557","Mediterranean","December 25, 2020","2020","Dec","","13","13","","","5","1","Presumed drowning","Unspecified location, last spotted 50Nm north of Tripoli, Libya on 25.12 at 12:45 - Departed from Sabratha, Libya on 24.12","Alarm Phone, Pilotes Volontaires","33.331299067715, 13.188591717969","Central Mediterranean","https://archive.vn/e7v1R, https://archive.vn/4Fcjk","Uncategorized","4"
"54520","Mediterranean","December 24, 2020","2020","Dec","","4","4","38","","","","Unknown (presumed dehydration, hypothermia)","Unspecified location in the Alboran Sea, rescued 30 nautical miles off of Motril, Granada, Spain","El País, Público","36.214401400000, -3.419552700000","Western Mediterranean","https://archive.vn/AAzF7, https://archive.vn/tyUcw","Uncategorized","3"
"54535","Mediterranean","December 24, 2020","2020","Dec","1","","1","","","","","Presumed drowning","Remains washed ashore at Al harsha, Azzawaya, Libya","IOM Libya","32.791531634988, 12.680682339209","Central Mediterranean","","Uncategorized","4"
"54519","Mediterranean","December 24, 2020","2020","Dec","20","20","40","5","19","1","","Pressumed drowning","6 miles off the coast of Sidi Mansour, Sfax, Tunisia","IOM Tunisia","34.904147662369, 11.212363994531","Central Mediterranean","","Uncategorized","4"
"54522","North Africa","December 24, 2020","2020","Dec","2","","2","43","","","","Unknown (presumed dehydration, hypothermia)","Off the coast of Laâyoune/El Aaiún, Morocco","El País, Público","27.183682191761, -13.596643549023","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/qTTvw, https://archive.vn/AAzF7","Uncategorized","3"
"54863","Mediterranean","December 23, 2020","2020","Dec","","5","5","","","5","","Presumed drowning","Unspecified location in the Alboran Sea. Departed from Alhoceima, Morocco on 23.12.2020 at 3:00 GMT. Disappeared without a trace","UNHCR, Watch the Med","35.304207530822, -3.920073826367","","","Uncategorized","4"
"54525","Central America","December 22, 2020","2020","Dec","2","","2","","1","","1","Drowning","Puerto Obaldía, Guna Yala District, Panama","La Estrella de Panamá,Crítica,El Siglo","8.666747300000, -77.419983700000","","https://archive.ph/jwjbn, https://archive.ph/3H8Kf, https://archive.ph/XNQyd","Uncategorized","3"
"54531","US-Mexico Border","December 22, 2020","2020","Dec","1","","1","","","1","","Vehicle Accident","At San Ysidro Port of Entry, San Diego, California, USA","US Border Patrol","32.543483800000, -117.030279500000","","https://archive.vn/f18n6","Northern America","5"
"54711","US-Mexico Border","December 20, 2020","2020","Dec","2","","2","","","2","","Presumed drowning","2800 Bentsen Palm, Mission, Hidalgo County, Texas, USA","Hidalgo County Sheriff's Office","26.185486300000, -98.380299100000","","","Northern America","5"
"54609","East Asia","December 20, 2020","2020","Dec","","1","1","","","1","","Presumed drowning","Musan County, North Hamgyong Province, the Democratic People's Republic of Korea (North Korea)","Daily NK","42.228191600000, 129.214835000000","","https://archive.vn/MZbHo","Eastern Asia","1"
"54574","Mediterranean","December 20, 2020","2020","Dec","1","","1","","","1","","Presumed drowning","Body found by the Marine Guard on the beach of Cap Zebib (Ras Jebel),  Bizerte, Tunisia","Tunisie Numerique, Banzart FM","37.248914400000, 10.072334900000","Central Mediterranean","https://archive.vn/9v39B, https://archive.vn/psIom","Uncategorized","3"
"54536","Mediterranean","December 19, 2020","2020","Dec","3","","3","31","3","","","Drowning","Unspecified location in the Aegean sea. Survivors rescued off the coast of İzmir’s Foça district/Aslan Burnu, Turkey","Turkish Coast Guard Command, Aegean Boat Report","38.771160929576, 26.513472199219","Eastern Mediterranean","https://archive.vn/Mia68, https://archive.vn/3fITu","Uncategorized","5"
"54710","US-Mexico Border","December 19, 2020","2020","Dec","1","","1","","","1","","Presumed drowning","1612 Military, Mission, Hidalgo County, Texas, USA","Hidalgo County Sheriff's Office","26.215906600000, -98.325293200000","","","Northern America","5"
"54514","Mediterranean","December 18, 2020","2020","Dec","","7","7","18","4","","3","Presumed drowning","Off the coast of Isleta del Moro, Almería, Spain (Alboran Sea)","Europa Press, La Voz de Almería","36.778889324964, -1.999930041406","Western Mediterranean","https://archive.vn/YsrhB, https://archive.ph/kXMES","Uncategorized","3"
"54513","Mediterranean","December 18, 2020","2020","Dec","1","","1","","1","","","Drowning","Off the coast of Lesvos, Greece","IOM Greece","39.282798273776, 26.506360254102","Eastern Mediterranean","","Uncategorized","4"
"54537","Mediterranean","December 18, 2020","2020","Dec","14","4","18","3","","14","3","Drowning","Remains washed ashore and retreived by Egyptian Coast Guard off the coast of Salloum, Marsa Matrouh, Egypt. Assumed that fishing boat departed from Salloum to Libya (transiting to Italy) before capsizing","El Wafd, el Watan, Annahar, Al Bawabh News, Youm 7, Shorouk news","31.570784487475, 26.162401043408","Central Mediterranean","https://archive.vn/VH8bj, https://archive.vn/9xGVA, https://archive.vn/k0X3d, https://archive.vn/e1XAj, https://archive.vn/UAaLk, https://archive.vn/jmvlX, https://archive.vn/zqkv7, https://archive.vn/aoYwo, https://archive.vn/61YyN, https://archive.vn/kTiMa","Uncategorized","3"
"54651","Mediterranean","December 17, 2020","2020","Dec","","23","23","","","","","Presumed drowning","Boat departed on 17 Dec from Béjaïa, Algeria","AP, Algerie Eco","36.777490977405, 5.128124801074","Western Mediterranean","https://archive.vn/PqiDV, https://archive.vn/oGpAg","Uncategorized","3"
"54512","Europe","December 17, 2020","2020","Dec","1","","1","","","1","","Electrocution on railway","Near railway station in Sid, Serbia","IOM Serbia","45.147311000000, 19.164440000000","","","Southern Europe","4"
"54646","Horn of Africa","December 16, 2020","2020","Dec","1","","1","","1","","","Sickness and lack of access to healthcare","Bosaso, Somalia","IOM Somalia","11.275540700000, 49.187899400000","","","Eastern Africa","4"
"54510","Mediterranean","December 16, 2020","2020","Dec","4","","4","","","","4","Presumed drowning","Remains of one child found at Azzawyia Musfat and remains of three children at Almutred area, Libya","IOM Libya","32.792128574285, 12.735809554492","Central Mediterranean","","Uncategorized","4"
